"RANK","Nom Unité Opérationnelle","Identifiant GED","Site CEC","Service","Fournisseur","Blocage","Chef de projet","Entité","CA","Num commande","Montant de la commande/Appel de cde","Montant des réceptions","Montant des factures","Montant mise à disposition","Numéro Facture","Montant Facture TTC (DEVISE)","Devise Facture","Type","Acheteur","Type d'achat PO","Intervenant","Nombre de jours à l'échéance","Échéance"
"1","JF8_34272:56812","L_774645_79451929","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","D3427623","70970600","2019000","33286700","13828400","=_2298849","12684900","MAD","F locaux","KANFAOUI.55","S - stocks","Litige","-8","Echue"
"2","JF8_38987:70018","CDS30403_0210_58985","Port Jorf","JORF B","Fournisseur Y","Missing","Missing","Missing","Missing","@1810350","1820820","215532","1060740","551238",">_3448072","161697","USD","F étrangers","SAMAR.8888","M - marché","SPOC","-5","Echue"
"3","JF8_99580:94943","330_0003_565614","Port Jorf","JORF Z","Fournisseur Z","Missing","Missing","Missing","Missing","?5857952","39940500","1829260","13431600","15022100","?_3686804","9829560","EUR","F étrangers","RIYAHI.8545","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","6","Echue dans 7 jours"
"4","OCP_49379:29472","30_0003_500521","Port Jorf","JORF B","Fournisseur A","Missing","Missing","Missing","Missing","B3479361","18995200","511612","1987930","2183390","F_2825476","48134","MAD","F locaux","KARAMI.5898","E - Equipement","SPOC","55","Echue dans 60 jours"
"5","JF8_96927:99162","0921_0090_33254415","Port Jorf","JORF Z","Fournisseur B","Missing","Missing","Missing","Missing","?806617","77106900","34730400","50562200","61608600","F_418201","25577400","MAD","F locaux","HASSAN.3333","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","45","Echue dans 60 jours"
"6","JF8_49434:67236","322_0117_561358652","Port Jorf","JORF B","Fournisseur C","Missing","Missing","Missing","Missing","C2811802","21118000","5456930","16634200","11458400","D_1349355","10809200","MAD","F locaux","RABII.888","S - stocks","SPOC","5","Echue dans 7 jours"
"7","JF8_62930:15399","327_0001_256390","Port Jorf","JORF Z","Fournisseur D","Missing","Missing","Missing","Missing","?1208925","40465300","34352000","35007100","33854300","D_803973","16756600","MAD","F locaux","FAROKI.855","M - marché","SPOC","11","Echue dans 30 jours"
"9","JF8_15591:10688","327_0001_256337","Port Jorf","JORF Z","Fournisseur D","Missing","XX","Missing","Missing","B1357069","63673100","3832160","33335000","57620900","D_1783307","48321600","MAD","F locaux","FAROKI.855","S - stocks","SPOC","-1","Echue"
"11","JF8_28471:77616","F_80391_27107932","Port Jorf","JORF Z","Fournisseur X","Missing","Missing","Missing","Missing","B6073303","42917500","35204200","35247000","41048000",">_1982479","21074400","MAD","F locaux","KANFAOUI.56","S - stocks","Litige","-3","Echue"
"12","JF8_76431:66857","CDS30403_0210_58986","Port Jorf","JORF B","Fournisseur Y","Missing","Missing","Missing","Missing","A2951630","80460000","23425800","65918500","28074800","@_2026943","27959500","EUR","F étrangers","SAMAR.8889","M - marché","SPOC","45","Echue dans 60 jours"
"13","OCP_97445:88842","330_0003_565615","Port Jorf","JORF Z","Fournisseur Z","Missing","Missing","Missing","Missing","D3290404","73286000","40653100","43875300","61001700","D_6257390","55305100","EUR","F étrangers","RIYAHI.8546","M - Frais communs - Achats de Travaux, Etudes et Prestations de service","SPOC","44","Echue dans 60 jours"
